config,T,d_T,CO2,d_CO2,Td,Hgla,Hgis,Hais_smb,Hais,Co_1,Co_2,Co_3,Co_4,Co_5,Cd,Cv,Cs1,Cs2,Cs3,a,Cth_1,Cth_2,Cth_3,ERFx,Eco2
85,1.1877351,0.027157417,399.86267,2.467242,0.0935466,106.089096,94.615524,-17.120876,14.148584,1.6815135,1.3401325,2.1246085,2.052175,1.8954694,118.32857,463.70587,65.456535,204.11038,631.2186,0.13875218,0.91688824,7.27966,63.864452,0.94404376,9.642335
86,1.1609335,0.043476015,399.73877,2.436114,0.24219301,74.55457,53.003895,-16.449722,42.74776,1.8922266,1.5581181,2.4601216,2.3655853,2.1877313,136.77303,544.3181,81.55416,684.66614,951.5635,0.18830049,0.46563697,7.912492,99.526535,0.77932286,10.054318
87,1.1123979,0.05591049,399.91956,2.4718068,0.37859312,45.695263,66.02828,-13.8241825,26.208523,2.1399026,1.6462109,2.4514203,2.213075,1.9978441,123.807594,541.04144,59.63268,313.78867,533.6284,0.0766273,0.07176625,1.3302971,20.362404,0.86417234,10.764433
88,1.095886,0.04217119,399.79492,2.4533105,0.18912748,64.43003,119.173645,-11.400195,19.116953,2.6866403,2.0701668,3.0930247,2.8029091,2.5340428,157.1092,511.19473,351.45294,600.7091,571.7085,0.16449802,2.376977,10.865639,83.447716,-0.14180402,10.035507
89,1.1542187,0.052803077,399.86237,2.451425,0.16996853,83.40065,64.05543,-10.325211,14.128836,2.49115,1.7918074,2.4824367,2.1307316,1.8899654,116.24587,533.2705,53.45762,677.0709,726.61365,0.26230645,0.3204705,6.1238947,84.76482,-0.11374924,11.150226
90,1.0291005,0.037726484,399.96597,2.4716368,0.105360374,110.39773,86.41365,-15.447958,38.450916,2.359494,1.844231,2.749072,2.4858322,2.2423084,139.0492,525.76855,50.938454,277.49506,882.215,0.11205908,0.077961944,1.5311477,26.484491,0.28836626,9.842543
91,1.075885,0.04244321,400.0091,2.471167,0.1698743,87.22839,51.152252,-15.608212,18.437147,2.263578,1.7594181,2.582622,2.3096716,2.0816925,128.91873,504.36115,168.21947,312.71936,608.2428,0.29818115,1.0991313,11.017589,105.7454,0.40707907,9.932881
92,1.0525439,0.04423616,399.89816,2.4686818,0.13253228,107.415695,97.0255,-7.6595893,1.6753426,2.7999377,2.1079612,3.027601,2.6777937,2.4048958,148.63203,563.46936,69.59664,155.14862,733.5709,0.09548898,0.66722834,3.5794575,28.241516,0.16178203,9.920758
93,1.0992544,0.03733743,399.87442,2.4766967,0.1865572,128.49422,50.56763,-20.97504,45.11452,2.7001197,2.096907,3.1555212,2.9855623,2.7826512,173.4631,549.73114,149.41447,392.11853,554.8402,0.0758091,0.6664979,3.4242618,26.82925,0.41689688,10.16437
94,1.1075766,0.04304359,399.79712,2.5114684,0.1772512,85.01094,52.932068,-21.070932,28.63851,1.9730866,1.641053,2.604093,2.4878252,2.2699444,141.78972,490.54037,58.352882,588.8832,580.11084,0.16727623,0.6104681,8.188469,86.6513,0.21780531,11.660871
95,1.1391743,0.04289387,399.9859,2.4544969,0.27263704,92.5623,87.84414,-13.050366,20.05814,2.8048713,2.2029746,3.3438942,3.2245762,3.0339384,189.55667,529.82196,253.12822,773.00385,471.74088,0.06350331,0.72019386,4.6417,38.007755,1.2186692,11.110283
